Title,Acronym,sourceAccessedOn,AberOWL,AgroPortal,BARTOC ,BioPortal ,Bioregistry ,NERC ,EcoPortal ,FAIRsharing ,LOTERRE ,LOV ,MMI-ORR ,Ontobee ,OBO-Foundry ,OLS ,ARDC 
Vertebrate Homologous Organ Group Ontology,VHOG,06-07-2023,2017,,,2017,Not specified,,,,,,,Not specified,Not specified,,
Vertebrate skeletal Anatomy Ontology,VSAO,06-07-2023,2012,,,2012,2012,,,,,,,2012,2012,,
Vertebrate Taxonomy Ontology,VTO,06-07-2023,2020,,,2020,2020,,,Not specified,,,,2020,2020,2020,
Vertebrate Trait Ontology,VT,06-07-2023,2023,2023,,2023,2023,,,Not specified,,,,2023,2023,2022,
Wheat Trait Ontology,CO-WHEAT,06-07-2023,,2022,,2010,,,,,,,,,,2019,
XEML Environment Ontology,XEO,06-07-2023,,1.6,Not specified,1.6,,,,,,,,,,,
Xenopus Anatomy Ontology,XAO,06-07-2023,2022,,Not specified,2022,2022,,,2022,,,,2022,2022,2021,
Xenopus Phenotype Ontology,XPO,06-07-2023,2022,,,2022,2022,,,,,,,2022,2022,2021,
Zebrafish Anatomy and Development Ontology,ZFA,06-07-2023,2022,,,2022,,,,Not specified,,,,2022,2022,2022,
Zebrafish Developmental Stages,ZFS,06-07-2023,2020,,,2020,2020,,,Not specified,,,,2020,2020,2020,
Zebrafish Experimental Conditions Ontology,ZECO,06-07-2023,2022,,,2022,2022,,,Not specified,,,,2022,2022,2022,
Zebrafish Phenotype Ontology,ZP,06-07-2023,2022,,,2022,2022,,,,,,,2022,2022,2022,
Phenotype and Trait Ontology,PATO,06-07-2023,2023,2023,2016,2023,,,,2023,,,,2023,2023,2022,
Bambara groundnut Ontology,CO_366,06-07-2023,,2021,,,2019,,,,,,,,,Not specified,
Banana Ontology,CO_325,06-07-2023,,2019,,,2019,,,Not specified,,,,,,2019,
Barley Ontology,CO_323,06-07-2023,,2020,,,2019,,,Not specified,,,,,,2019,
Beet Ontology,CO_333,06-07-2023,,2022,,,Not specified,,,Not specified,,,,,,2022,
Brachiaria Ontology,CO_345,06-07-2023,,2022,,,2022,,,Not specified,,,,,,2019,
Brassica Ontology,CO_348,06-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Cassava Ontology,CO_334,06-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Castor bean Ontology,CO_347,06-07-2023,,2017,,,2017,,,Not specified,,,,,,Not specified,
Chickpea Ontology,CO_338,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Common Bean Ontology,CO_335,07-07-2023,,2014,,,2014,,,Not specified,,,,,,Not specified,
Cotton Ontology,CO_358,07-07-2023,,2020,,,2020,,,,,,,,,2020,
Cowpea Ontology,CO_340,07-07-2023,,2022,,,,,,Not specified,,,,,,2019,
Fababean Ontology,CO_365,07-07-2023,,2019,,,2019,,,,,,,,,2019,
Groundnut Ontology,CO_337,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Lentil Ontology,CO_339,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Maize Ontology,CO_322,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Mungbean Ontology,CO_346,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Oat Ontology,CO_350,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Pearl millet Ontology,CO_327,07-07-2023,,2016,,,2016,,,Not specified,,,,,,Not specified,
